job_id,company,title,location,experience_level,required_skills,salary_range,description
4228127684,Oracle,Software Development Director,"Austin, TX",Mid-Senior level,"Python, Java, cloud, distributed systems, data structures, engineering, software development, algorithms","$122,500 - $291,800","Job Description

As a Director or Senior Manager in this team, you will be responsible for setting roadmap goals, collaborating with the product team to gather customer requirements, building and delivering high impact features, as well as driving operational and performance improvements for the platform. You will lead a team of highly talented engineers to deliver impactful business goals for the broader Serverless organization. You will also need to hire, grow, mentor and performance manage th..."
4224657853,Google,"Senior Software Engineering Manager, AI/ML, Google Workspace","Sunnyvale, CA",Mid-Senior level,"ML, Python, Java, C, engineering, software development, JavaScript, management, leadership, AI","$248,000-$349,000","Minimum qualifications:


 * Bachelor’s degree or equivalent practical experience.
 * 8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
 * 7 years of experience leading technical project strategy, ML design, and optimizing industry-scale ML infrastructure (e.g., model deployment, model evaluation, data processing, debugging, fine tuning).
 * 5 years of experience in a technical leadership role; overseeing projects, with..."
4126331791,Adobe,Manager Software Development,"San Jose, CA",Mid-Senior level,"ML, machine learning, cloud, distributed systems, NoSQL, engineering, Azure, leadership, AI, AWS","$143,700 -- $289,900","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences whe..."
4240384232,Uber,"Engineering Manager II, UberEats Order Platform","Sunnyvale, CA",Mid-Senior level,"leadership, engineering, management","$223,000 per year - USD$248,000","About The Team

You will be joining the UberEats Order Platform Team. This team handles the core product layer orchestration for all Delivery orders at Uber, across the lifecycle from order creation to fulfillment to billing. The main themes within the team are reliability, architectural improvements and new logistical capability building.

About The Role

We are looking for a technical leader with a platform mindset who will manage the team that focuses on evolving our platform offerings as we ..."
4240383422,Uber,Engineering Manager II - Autonomous,"San Francisco, CA",Mid-Senior level,"leadership, engineering","$223,000 per year - USD$248,000","About The Role

The Autonomous Mobility & Delivery (AM&D) team is leading Uber's push into an autonomous future across Rides and Eats. As we move toward a world where autonomous and human-driven vehicles coexist, we're building a hybrid marketplace that seamlessly integrates AVs into every part of the Uber experience - delivering reliability, efficiency, and scale across our global platform.

Our work touches nearly every Uber service. Over the past year, we have partnered with leading autonomou..."
4240382429,Uber,"Engineering Manager II, Delivery Marketplace","San Francisco, CA",Mid-Senior level,"machine learning, engineering, management","$223,000 per year - USD$248,000","About The Role

The Consumer Pricing and Incentives team - part of the Delivery Marketplace organization - shapes how millions of consumers interact with Uber's Delivery business, from ordering food to getting groceries delivered to their doorstep. Our systems power hundreds of millions of consumers and millions of merchants globally - and we're growing faster than ever.

We are looking for an Engineering Manager who excels at problem-solving and critical thinking, has a strong track record of b..."
4240382422,Uber,Engineering Manager II,"Sunnyvale, CA",Mid-Senior level,"machine learning, cloud, engineering, management, leadership","$223,000 per year - USD$248,000","About The Role

We're looking for an experienced Engineering Manager to define and drive the technical roadmap for Uber's Road Safety products, safeguarding millions of users every day. You'll collaborate closely with Product, Data Science, and Operations teams to develop cutting-edge solutions that reduce crashes and injuries on our platform, leveraging technologies like telematics, motion sensing, and machine learning.

About The Team

Uber's Safety organization sits at the heart of our busine..."
4240383436,Uber,Engineering Manager II,"San Francisco, CA",Mid-Senior level,"machine learning, cloud, engineering, management, leadership","$223,000 per year - USD$248,000","About The Role

We're looking for an experienced Engineering Manager to define and drive the technical roadmap for Uber's Road Safety products, safeguarding millions of users every day. You'll collaborate closely with Product, Data Science, and Operations teams to develop cutting-edge solutions that reduce crashes and injuries on our platform, leveraging technologies like telematics, motion sensing, and machine learning.

About The Team

Uber's Safety organization sits at the heart of our busine..."
4240378886,Uber,"Engineering Manager II, UberEats Order Platform","San Francisco, CA",Mid-Senior level,"leadership, engineering, management","$223,000 per year - USD$248,000","About The Team

You will be joining the UberEats Order Platform Team. This team handles the core product layer orchestration for all Delivery orders at Uber, across the lifecycle from order creation to fulfillment to billing. The main themes within the team are reliability, architectural improvements and new logistical capability building.

About The Role

We are looking for a technical leader with a platform mindset who will manage the team that focuses on evolving our platform offerings as we ..."
4240381769,Uber,Senior Engineering Manager - Machine Learning,"San Francisco, CA",Mid-Senior level,"ML, Python, Java, machine learning, C, data structures, engineering, algorithms, management, AI","$257,000 per year - USD$285,500","About The Role

We're looking for an experienced and visionary Senior Machine Learning Manager to lead the ML strategy and execution for Uber Grocery's Catalog team . This team powers every single consumer-facing experience in the Uber Eats app -from what users see when they open the app to the products they choose at checkout.

As the ML leader on this team, you'll be responsible for building and scaling a diverse range of AI/ML systems that make sense of vast, complex, and ever-evolving grocer..."
4247883356,Uber,"Engineering Manager II, Fares Platform","San Francisco, CA",Mid-Senior level,"leadership, engineering, management","$223,000 per year - USD$248,000","About The Team

T he Marketplace Fares Platform Team powers global fares for all of Uber - that's all riders, drivers, eaters, new initiatives and technical consumers. Tens of billions of dollars in gross bookings flow through the systems and experiences within our responsibility. Our scope and critical work spans the entire stack - from platform fare calculation for riders and drivers, to data science prediction of trustworthy upfront prices, to compelling mobile fare experiences for our custom..."
4240383447,Uber,Senior Engineering Manager - Machine Learning,"New York, NY",Mid-Senior level,"ML, Python, Java, machine learning, C, data structures, engineering, algorithms, management, AI","$257,000 per year - USD$285,500","About The Role

We're looking for an experienced and visionary Senior Machine Learning Manager to lead the ML strategy and execution for Uber Grocery's Catalog team . This team powers every single consumer-facing experience in the Uber Eats app -from what users see when they open the app to the products they choose at checkout.

As the ML leader on this team, you'll be responsible for building and scaling a diverse range of AI/ML systems that make sense of vast, complex, and ever-evolving grocer..."
4196257672,Oracle,Software Development Director,"Nashville, TN",Mid-Senior level,"cloud, distributed systems, engineering, software development, management, leadership","$122,500 - $291,800","Job Description

Oracle Cloud Infrastructure (OCI) is seeking a highly experienced and strategic Software Director to lead critical infrastructure initiatives in Networking organization. In this role, you will be responsible for driving the design, delivery, and operational excellence of essential infrastructure components. You will lead a high-caliber team, ensuring the achievement of key objectives through exemplary leadership, talent development, and resource optimization. This position deman..."
